# wn (scale x 1.083)	PP 75 mu 
76.2759367	0.9310431
76.3266859	0.9315879
76.377435	0.9321311
76.4281841	0.9326737
76.4789332	0.9332171
76.5296824	0.9337607
76.5804315	0.9343055
76.6311806	0.9348523
76.6819297	0.9354015
76.7326789	0.9359535
76.783428	0.9365088
76.8341771	0.9370696
76.8849262	0.9376357
76.9356754	0.9382085
76.9864245	0.9387884
77.0371736	0.9393759
77.0879227	0.9399701
77.1386719	0.9405713
77.189421	0.9411774
77.2401701	0.9417867
77.2909193	0.9423971
77.3416684	0.9430062
77.3924175	0.9436108
77.4431666	0.944209
77.4939158	0.9447986
77.5446649	0.9453788
77.595414	0.9459491
77.6461631	0.9465106
77.6969123	0.9470653
77.7476614	0.9476152
77.7984105	0.9481641
77.8491596	0.9487144
77.8999088	0.9492692
77.9506579	0.949829
78.001407	0.9503947
78.0521561	0.950964
78.1029053	0.9515348
78.1536544	0.952103
78.2044035	0.9526643
78.2551527	0.9532151
78.3059018	0.9537531
78.3566509	0.9542765
78.4074	0.9547868
78.4581492	0.9552874
78.5088983	0.9557816
78.5596474	0.9562757
78.6103965	0.9567751
78.6611457	0.9572849
78.7118948	0.9578087
78.7626439	0.9583479
78.813393	0.9589012
78.8641422	0.9594662
78.9148913	0.9600372
78.9656404	0.9606082
79.0163895	0.9611728
79.0671387	0.9617248
79.1178878	0.9622596
79.1686369	0.9627752
79.2193861	0.963271
79.2701352	0.9637486
79.3208843	0.964212
79.3716334	0.9646664
79.4223826	0.9651162
79.4731317	0.9655668
79.5238808	0.9660226
79.5746299	0.9664861
79.6253791	0.9669592
79.6761282	0.9674414
79.7268773	0.9679324
79.7776264	0.96843
79.8283756	0.9689319
79.8791247	0.9694353
79.9298738	0.9699391
79.9806229	0.9704416
80.0313721	0.9709416
80.0821212	0.9714381
80.1328703	0.9719306
80.1836194	0.9724185
80.2343686	0.972901
80.2851177	0.973377
80.3358668	0.9738446
80.386616	0.9743032
80.4373651	0.9747518
80.4881142	0.9751894
80.5388633	0.9756163
80.5896125	0.9760335
80.6403616	0.9764428
80.6911107	0.976846
80.7418598	0.9772448
80.792609	0.977642
80.8433581	0.978039
80.8941072	0.9784369
80.9448563	0.9788356
80.9956055	0.9792348
81.0463546	0.9796332
81.0971037	0.9800296
81.1478528	0.980423
81.198602	0.9808115
81.2493511	0.9811954
81.3001002	0.9815748
81.3508494	0.9819502
81.4015985	0.9823234
81.4523476	0.9826953
81.5030967	0.9830675
81.5538459	0.9834415
81.604595	0.9838179
81.6553441	0.9841971
81.7060932	0.984579
81.7568424	0.9849633
81.8075915	0.9853495
81.8583406	0.9857363
81.9090897	0.9861236
81.9598389	0.9865106
82.010588	0.9868963
82.0613371	0.9872802
82.1120862	0.9876609
82.1628354	0.9880366
82.2135845	0.9884048
82.2643336	0.9887634
82.3150828	0.98911
82.3658319	0.989441
82.416581	0.9897552
82.4673301	0.990051
82.5180793	0.9903284
82.5688284	0.9905882
82.6195775	0.9908319
82.6703266	0.9910636
82.7210758	0.9912867
82.7718249	0.9915051
82.822574	0.9917232
82.8733231	0.991944
82.9240723	0.9921707
82.9748214	0.9924053
83.0255705	0.9926485
83.0763196	0.9929003
83.1270688	0.9931604
83.1778179	0.9934266
83.228567	0.9936976
83.2793161	0.9939711
83.3300653	0.9942442
83.3808144	0.9945146
83.4315635	0.9947798
83.4823127	0.9950377
83.5330618	0.9952852
83.5838109	0.9955213
83.63456	0.9957447
83.6853092	0.9959543
83.7360583	0.9961505
83.7868074	0.9963336
83.8375565	0.9965053
83.8883057	0.9966664
83.9390548	0.996819
83.9898039	0.9969651
84.040553	0.9971063
84.0913022	0.9972447
84.1420513	0.9973811
84.1928004	0.9975168
84.2435495	0.9976531
84.2942987	0.9977905
84.3450478	0.9979293
84.3957969	0.9980707
84.4465461	0.9982144
84.4972952	0.9983609
84.5480443	0.9985092
84.5987934	0.9986585
84.6495426	0.9988074
